fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,ENTRE RIOS,M,4288,2013,8.0,536.0
2013-01-01,ENTRE RIOS,N,4844,2013,8.0,605.5
2013-01-01,ENTRE RIOS,O,6145,2013,8.0,768.125
2013-01-01,ENTRE RIOS,P,4232,2013,8.0,529.0
2013-01-01,ENTRE RIOS,Q,6204,2013,8.0,775.5
2013-01-01,ENTRE RIOS,R,4891,2013,8.0,611.375
2013-01-01,ENTRE RIOS,S,5740,2013,8.0,717.5
2013-01-01,ENTRE RIOS,Z,11810,2013,8.0,1476.25
2013-01-01,FORMOSA,A,4509,2013,8.0,563.625
2013-01-01,FORMOSA,B,12531,2013,8.0,1566.375
2013-01-01,FORMOSA,C,7705,2013,8.0,963.125
2013-01-01,FORMOSA,D,10078,2013,8.0,1259.75
2013-01-01,FORMOSA,E,7349,2013,8.0,918.625
2013-01-01,FORMOSA,F,4521,2013,8.0,565.125
2013-01-01,FORMOSA,G,5511,2013,8.0,688.875
2013-01-01,FORMOSA,H,8019,2013,8.0,1002.375
2013-01-01,FORMOSA,I,5253,2013,8.0,656.625
2013-01-01,FORMOSA,J,7845,2013,8.0,980.625
2013-01-01,FORMOSA,K,13444,2013,8.0,1680.5
2013-01-01,FORMOSA,L,5145,2013,8.0,643.125
2013-01-01,FORMOSA,M,4104,2013,8.0,513.0
2013-01-01,FORMOSA,N,4396,2013,8.0,549.5
2013-01-01,FORMOSA,O,5927,2013,8.0,740.875
2013-01-01,FORMOSA,P,6141,2013,8.0,767.625
2013-01-01,FORMOSA,Q,5183,2013,8.0,647.875
2013-01-01,FORMOSA,R,5126,2013,8.0,640.75
2013-01-01,FORMOSA,S,5003,2013,8.0,625.375
2013-01-01,JUJUY,A,2919,2013,8.0,364.875
2013-01-01,JUJUY,B,15672,2013,8.0,1959.0
2013-01-01,JUJUY,C,8308,2013,8.0,1038.5
2013-01-01,JUJUY,D,11645,2013,8.0,1455.625
2013-01-01,JUJUY,E,7477,2013,8.0,934.625
2013-01-01,JUJUY,F,4458,2013,8.0,557.25
2013-01-01,JUJUY,G,5981,2013,8.0,747.625
2013-01-01,JUJUY,H,8681,2013,8.0,1085.125
2013-01-01,JUJUY,I,4181,2013,8.0,522.625
2013-01-01,JUJUY,J,7219,2013,8.0,902.375
2013-01-01,JUJUY,K,11288,2013,8.0,1411.0
2013-01-01,JUJUY,L,5305,2013,8.0,663.125
2013-01-01,JUJUY,M,4109,2013,8.0,513.625
2013-01-01,JUJUY,N,4200,2013,8.0,525.0
2013-01-01,JUJUY,O,5015,2013,8.0,626.875
2013-01-01,JUJUY,P,5841,2013,8.0,730.125
2013-01-01,JUJUY,Q,5635,2013,8.0,704.375
2013-01-01,JUJUY,R,5388,2013,8.0,673.5
