fecha,zona_prov,letra,w_mean
2013-01-01,LA RIOJA,L,4351
2013-01-01,LA RIOJA,M,4099
2013-01-01,LA RIOJA,N,4725
2013-01-01,LA RIOJA,O,4247
2013-01-01,LA RIOJA,P,6383
2013-01-01,LA RIOJA,Q,5334
2013-01-01,LA RIOJA,R,7031
2013-01-01,LA RIOJA,S,5091
2013-01-01,LA RIOJA,Z,983
2013-01-01,MENDOZA,A,3115
2013-01-01,MENDOZA,B,22609
2013-01-01,MENDOZA,C,6735
2013-01-01,MENDOZA,D,19325
2013-01-01,MENDOZA,E,9157
2013-01-01,MENDOZA,F,7011
2013-01-01,MENDOZA,G,6111
2013-01-01,MENDOZA,H,8035
2013-01-01,MENDOZA,I,4303
2013-01-01,MENDOZA,J,9045
2013-01-01,MENDOZA,K,12129
2013-01-01,MENDOZA,L,4839
2013-01-01,MENDOZA,M,6590
2013-01-01,MENDOZA,N,4427
2013-01-01,MENDOZA,O,6931
2013-01-01,MENDOZA,P,4853
2013-01-01,MENDOZA,Q,6076
2013-01-01,MENDOZA,R,5293
2013-01-01,MENDOZA,S,5471
2013-01-01,MENDOZA,Z,6685
2013-01-01,MISIONES,A,2910
2013-01-01,MISIONES,B,6108
2013-01-01,MISIONES,C,5348
2013-01-01,MISIONES,D,20893
2013-01-01,MISIONES,E,8596
2013-01-01,MISIONES,F,4481
2013-01-01,MISIONES,G,5820
2013-01-01,MISIONES,H,8025
2013-01-01,MISIONES,I,4939
2013-01-01,MISIONES,J,7413
2013-01-01,MISIONES,K,11417
2013-01-01,MISIONES,L,5532
2013-01-01,MISIONES,M,4244
2013-01-01,MISIONES,N,4063
2013-01-01,MISIONES,O,6181
2013-01-01,MISIONES,P,5700
2013-01-01,MISIONES,Q,5655
2013-01-01,MISIONES,R,6191
2013-01-01,MISIONES,S,5275
2013-01-01,MISIONES,Z,7490
2013-01-01,NEUQUEN,A,3742
2013-01-01,NEUQUEN,B,26330
2013-01-01,NEUQUEN,C,10488
2013-01-01,NEUQUEN,D,20997
2013-01-01,NEUQUEN,E,11127
2013-01-01,NEUQUEN,F,9582
2013-01-01,NEUQUEN,G,7385
2013-01-01,NEUQUEN,H,12431
2013-01-01,NEUQUEN,I,5505
2013-01-01,NEUQUEN,J,10963
2013-01-01,NEUQUEN,K,15651
2013-01-01,NEUQUEN,L,8601
2013-01-01,NEUQUEN,M,10740
2013-01-01,NEUQUEN,N,6943
2013-01-01,NEUQUEN,O,8448
2013-01-01,NEUQUEN,P,7764
2013-01-01,NEUQUEN,Q,8563
2013-01-01,NEUQUEN,R,7677
2013-01-01,NEUQUEN,S,9720
2013-01-01,NEUQUEN,Z,4374
2013-01-01,RIO NEGRO,A,3299
2013-01-01,RIO NEGRO,B,19946
2013-01-01,RIO NEGRO,C,6827
2013-01-01,RIO NEGRO,D,19079
2013-01-01,RIO NEGRO,E,9198
2013-01-01,RIO NEGRO,F,6866
2013-01-01,RIO NEGRO,G,6557
2013-01-01,RIO NEGRO,H,10181
2013-01-01,RIO NEGRO,I,5350
2013-01-01,RIO NEGRO,J,9889
2013-01-01,RIO NEGRO,K,11652
2013-01-01,RIO NEGRO,L,6335
2013-01-01,RIO NEGRO,M,7377
2013-01-01,RIO NEGRO,N,4940
2013-01-01,RIO NEGRO,O,7146
2013-01-01,RIO NEGRO,P,5155
2013-01-01,RIO NEGRO,Q,7831
2013-01-01,RIO NEGRO,R,7015
2013-01-01,RIO NEGRO,S,6613
2013-01-01,RIO NEGRO,Z,5276
2013-01-01,SALTA,A,3428
2013-01-01,SALTA,B,15067
2013-01-01,SALTA,C,7485
2013-01-01,SALTA,D,16853
2013-01-01,SALTA,E,10383
2013-01-01,SALTA,F,4415
2013-01-01,SALTA,G,5886
2013-01-01,SALTA,H,8572
2013-01-01,SALTA,I,4050
2013-01-01,SALTA,J,8842
2013-01-01,SALTA,K,10361
2013-01-01,SALTA,L,4571
2013-01-01,SALTA,M,4311
2013-01-01,SALTA,N,4907
2013-01-01,SALTA,O,6239
2013-01-01,SALTA,P,4832
2013-01-01,SALTA,Q,5695
2013-01-01,SALTA,R,4488
2013-01-01,SALTA,S,4665
2013-01-01,SALTA,Z,5402
2013-01-01,SAN JUAN,A,3647
2013-01-01,SAN JUAN,B,21288
2013-01-01,SAN JUAN,C,7458
2013-01-01,SAN JUAN,D,10557
2013-01-01,SAN JUAN,E,10424
2013-01-01,SAN JUAN,F,9865
2013-01-01,SAN JUAN,G,5960
2013-01-01,SAN JUAN,H,8370
2013-01-01,SAN JUAN,I,6321
2013-01-01,SAN JUAN,J,7428
2013-01-01,SAN JUAN,K,10505
2013-01-01,SAN JUAN,L,4679
2013-01-01,SAN JUAN,M,6092
2013-01-01,SAN JUAN,N,4520
2013-01-01,SAN JUAN,O,6102
2013-01-01,SAN JUAN,P,6376
2013-01-01,SAN JUAN,Q,5519
2013-01-01,SAN JUAN,R,6324
2013-01-01,SAN JUAN,S,4734
2013-01-01,SAN JUAN,Z,2973
2013-01-01,SAN LUIS,A,5472
2013-01-01,SAN LUIS,B,6874
2013-01-01,SAN LUIS,C,9903
2013-01-01,SAN LUIS,D,16244
2013-01-01,SAN LUIS,E,5939
2013-01-01,SAN LUIS,F,5442
2013-01-01,SAN LUIS,G,5749
2013-01-01,SAN LUIS,H,8850
2013-01-01,SAN LUIS,I,3681
2013-01-01,SAN LUIS,J,7846
2013-01-01,SAN LUIS,K,11462
2013-01-01,SAN LUIS,L,7935
2013-01-01,SAN LUIS,M,4229
2013-01-01,SAN LUIS,N,5352
2013-01-01,SAN LUIS,O,5998
2013-01-01,SAN LUIS,P,5870
2013-01-01,SAN LUIS,Q,5661
2013-01-01,SAN LUIS,R,6226
2013-01-01,SAN LUIS,S,5617
2013-01-01,SANTA CRUZ,A,9005
2013-01-01,SANTA CRUZ,B,27546
2013-01-01,SANTA CRUZ,C,12923
2013-01-01,SANTA CRUZ,D,23524
2013-01-01,SANTA CRUZ,E,14552
2013-01-01,SANTA CRUZ,F,14244
2013-01-01,SANTA CRUZ,G,8473
2013-01-01,SANTA CRUZ,H,14349
2013-01-01,SANTA CRUZ,I,7072
2013-01-01,SANTA CRUZ,J,11218
2013-01-01,SANTA CRUZ,K,15132
2013-01-01,SANTA CRUZ,L,10344
